,clipping_threshold,lg2(batch_size),learning_rate,epochs,weight_decay,Accuracy,Loss
0,0.037219649,8,0.999516801,202.083362,0.042131863,0.1,0.009210360527038575
1,2.730989752,8,0.719160505,279.3445115,0.057829497,0.1,0.009212164616584778
2,1.600670351,8,0.875733,248.0585148,0.093095477,0.1,0.009212619066238404
3,0.495155054,9,0.061694957,298.1194837,0.073089941,0.1,0.004605185341835022
4,0.541682389,12,0.858678737,126.7682477,0.089363343,,
5,1.488349382,12,0.733993145,107.2747258,0.045834526,,
6,2.32945656,12,0.222753172,155.4131849,0.060829298,,
7,3.335281914,12,0.491317417,207.1794328,0.033873818,,
8,3.691666726,12,0.821715467,163.669572,0.068973298,,
9,3.138266451,11,0.000895792,172.1586663,0.09289404,,
10,0.236280981,10,0.533471118,154.7268361,0.004062578,,
11,3.776100361,12,0.994808506,137.4568614,0.005160921,,
12,1.407734907,12,0.518256401,282.0313047,0.095654048,,
13,3.940015829,11,0.865390887,261.4265223,0.03912222,,
14,3.506757369,11,0.690560096,252.8395982,0.087150056,,
15,1.88660919,11,0.159638641,224.7505679,0.085902154,,
16,0.131034172,12,0.467571556,218.7457189,0.083029215,,
17,2.650019866,12,0.038854885,251.9199852,0.064097169,,
18,2.432094062,12,0.798872615,244.3339974,0.026584725,,
19,2.138348662,11,0.343373458,298.8850409,0.013834107,,
20,1.044315735,11,0.911608323,296.0195149,0.064837957,,
21,1.355285076,10,0.245388218,239.0339417,0.055575107,,
22,0.071025739,10,0.57530706,263.2689963,0.050924858,,
23,0.986370428,12,0.6498305,232.9982472,0.000377065,,
24,1.188030652,12,0.094891778,264.3299424,0.024670864,,
25,0.738958412,12,0.291780379,181.5048073,0.040066428,,
26,0.864602102,10,0.17750919,132.8921306,0.022174846,,
