,clipping_threshold,lg2(batch_size),learning_rate,epochs,weight_decay,Accuracy,Loss
0,3.506757369,11,0.690560096,252.8395982,0.087150056,0.1,0.0011513222217559814
1,1.88660919,11,0.159638641,224.7505679,0.085902154,0.1141,0.0011385282516479492
2,0.131034172,12,0.467571556,218.7457189,0.083029215,,
3,2.650019866,12,0.038854885,251.9199852,0.064097169,,
4,2.432094062,12,0.798872615,244.3339974,0.026584725,,
5,2.138348662,11,0.343373458,298.8850409,0.013834107,,
6,1.044315735,11,0.911608323,296.0195149,0.064837957,,
7,1.355285076,10,0.245388218,239.0339417,0.055575107,,
8,0.071025739,10,0.57530706,263.2689963,0.050924858,,
9,0.986370428,12,0.6498305,232.9982472,0.000377065,,
10,1.188030652,12,0.094891778,264.3299424,0.024670864,,
11,0.738958412,12,0.291780379,181.5048073,0.040066428,,
12,0.864602102,10,0.17750919,132.8921306,0.022174846,,
